Dep_apt,Arr_apt,SchedDepApt,SchedArrApt,DepCountryCode,ArrCountryCode,avg_daily_passenger_cnt
333,343,AKU,QSZ,CN,CN,11.20191781
333,346,AKU,TLQ,CN,CN,31.65123288
333,347,AKU,TWC,CN,CN,20.02767123
333,348,AKU,URC,CN,CN,1048.511545
333,321,AKU,XIY,CN,CN,134.3279671
333,351,AKU,YIN,CN,CN,118.4687671
711,712,AKY,KYP,MM,MM,24.94067397
711,703,AKY,RGN,MM,MM,431.7151233
711,709,AKY,VBA,MM,MM,9.287408219
141,145,ALH,PER,AU,AU,87.94523836
518,563,AMD,BBI,IN,IN,22.81117808
518,558,AMD,BHO,IN,IN,31.00328767
518,809,AMD,BKK,IN,TH,129.4285425
518,538,AMD,BLR,IN,IN,1165.327496
518,552,AMD,BOM,IN,IN,2470.785512
518,594,AMD,CCU,IN,IN,645.3217096
518,540,AMD,COK,IN,IN,315.7726027
518,593,AMD,DED,IN,IN,80.87332055
518,513,AMD,DEL,IN,IN,2904.051337
518,806,AMD,DMK,IN,TH,48.88109589
518,505,AMD,GAU,IN,IN,95.95404384
518,514,AMD,GOI,IN,IN,498.6776986
518,533,AMD,HBX,IN,IN,136.0523836
518,577,AMD,HYD,IN,IN,940.5341096
518,559,AMD,IDR,IN,IN,94.03953425
518,551,AMD,ISK,IN,IN,87.17128767
518,595,AMD,IXB,IN,IN,135.0181863
518,568,AMD,IXC,IN,IN,190.2289315
518,534,AMD,IXG,IN,IN,17.19890411
518,531,AMD,IXJ,IN,IN,20.15213699
518,516,AMD,IXY,IN,IN,13.84964384
518,572,AMD,JAI,IN,IN,460.9758904
518,571,AMD,JDH,IN,IN,92.74961644
518,557,AMD,JLR,IN,IN,58.15945205
518,569,AMD,JSA,IN,IN,97.6988274
518,573,AMD,KQH,IN,IN,51.8230137
518,589,AMD,LKO,IN,IN,305.9141918
518,583,AMD,MAA,IN,IN,750.1234137
518,545,AMD,NAG,IN,IN,88.80065753
518,509,AMD,PAT,IN,IN,99.46397808
518,521,AMD,PBD,IN,IN,29.65453151
518,549,AMD,PNQ,IN,IN,736.7671068
518,548,AMD,SAG,IN,IN,20.59342466
518,805,AMD,SIN,IN,SG,217.8150685
518,574,AMD,UDR,IN,IN,47.43276712
518,587,AMD,VNS,IN,IN,224.9103397
261,167,AOG,CAN,CN,CN,30.09808219
261,298,AOG,CTU,CN,CN,40.19112329
261,246,AOG,NKG,CN,CN,54.99123288
261,154,AOG,PEK,CN,CN,71.37997808
261,155,AOG,PKX,CN,CN,26.88460274
261,317,AOG,PVG,CN,CN,87.23691507
607,603,AOJ,CTS,JP,JP,359.4095726
607,617,AOJ,HND,JP,JP,830.3359342
607,664,AOJ,ICN,JP,KR,69.91807123
607,628,AOJ,ITM,JP,JP,473.5107233
607,626,AOJ,NKM,JP,JP,220.3179616
607,383,AOJ,TPE,JP,TW,33.80489863
720,719,AOR,JHB,MY,MY,98.98421918
720,727,AOR,KUL,MY,MY,911.3993479
720,726,AOR,SZB,MY,MY,431.6200767
150,167,AQG,CAN,CN,CN,39.0369863
150,164,AQG,FOC,CN,CN,45.67666849
150,215,AQG,HAK,CN,CN,116.0812877
150,225,AQG,HRB,CN,CN,45.32590137
150,365,AQG,KMG,CN,CN,88.42726027
150,196,AQG,KWE,CN,CN,48.07772603
150,184,AQG,KWL,CN,CN,145.8286027
150,378,AQG,NGB,CN,CN,79.67166027
150,154,AQG,PEK,CN,CN,115.0176712
150,318,AQG,SHA,CN,CN,145.0139178
150,172,AQG,SZX,CN,CN,23.15063014
150,313,AQG,TAO,CN,CN,56.89216438
150,321,AQG,XIY,CN,CN,80.99326027
150,312,AQG,YNT,CN,CN,23.15063014
17,92,ARM,BNE,AU,AU,13.34272877
17,22,ARM,SYD,AU,AU,330.2913753
656,644,ASJ,FUK,JP,JP,61.74406575
656,617,ASJ,HND,JP,JP,135.6744603
656,628,ASJ,ITM,JP,JP,150.7913918
656,629,ASJ,KIX,JP,JP,71.28493151
656,652,ASJ,KOJ,JP,JP,455.2459397
656,619,ASJ,NRT,JP,JP,134.0156712
656,657,ASJ,RNJ,JP,JP,324.2627068
32,99,ASP,ADL,AU,AU,212.7662849
32,33,ASP,AYQ,AU,AU,108.2580493
32,92,ASP,BNE,AU,AU,65.52103562
32,69,ASP,CNS,AU,AU,27.59518904
32,41,ASP,DRW,AU,AU,285.7507397
32,114,ASP,MEL,AU,AU,108.8419068
32,145,ASP,PER,AU,AU,51.70081096
32,22,ASP,SYD,AU,AU,134.9186137
32,35,ASP,TCA,AU,AU,11.94871233
567,809,ATQ,BKK,IN,TH,21.08223562
567,538,ATQ,BLR,IN,IN,173.6100822
567,552,ATQ,BOM,IN,IN,465.8699726
567,593,ATQ,DED,IN,IN,41.63945205
567,513,ATQ,DEL,IN,IN,1349.720115
567,505,ATQ,GAU,IN,IN,72.91430137
567,514,ATQ,GOI,IN,IN,18.91200548
567,577,ATQ,HYD,IN,IN,136.459726
567,572,ATQ,JAI,IN,IN,60.64876712
567,727,ATQ,KUL,IN,MY,236.5528219
567,550,ATQ,NDC,IN,IN,25.85719452
567,805,ATQ,SIN,IN,SG,116.5700986
567,532,ATQ,SXR,IN,IN,153.9754521
45,69,AUU,CNS,AU,AU,27.08827397
45,49,AUU,IRG,AU,AU,12.35605479
45,50,AUU,WEI,AU,AU,11.40558904
193,215,AVA,HAK,CN,CN,59.63041096
193,379,AVA,HGH,CN,CN,130.7569315
193,361,AVA,JHG,CN,CN,52.62936986
193,363,AVA,LJG,CN,CN,78.20975342
193,246,AVA,NKG,CN,CN,71.20572603
193,317,AVA,PVG,CN,CN,60.28668493
193,321,AVA,XIY,CN,CN,60.68271233
113,99,AVV,ADL,AU,AU,82.28317808
113,727,AVV,KUL,AU,MY,568.6953425
113,31,AVV,OOL,AU,AU,146.2359452
113,22,AVV,SYD,AU,AU,795.1324932
651,644,AXJ,FUK,JP,JP,82.97566027
651,650,AXJ,KMJ,JP,JP,31.08023014
612,603,AXT,CTS,JP,JP,285.1103068
612,617,AXT,HND,JP,JP,1314.102636
612,628,AXT,ITM,JP,JP,473.0490685
612,627,AXT,NGO,JP,JP,161.6629096
33,99,AYQ,ADL,AU,AU,27.5884
33,32,AYQ,ASP,AU,AU,108.864537
33,92,AYQ,BNE,AU,AU,61.10136986
33,69,AYQ,CNS,AU,AU,108.4390904
33,41,AYQ,DRW,AU,AU,27.5884
33,114,AYQ,MEL,AU,AU,121.5690959
33,22,AYQ,SYD,AU,AU,271.6385863
277,202,BAV,CGO,CN,CN,303.7476712
277,282,BAV,CIF,CN,CN,52.10589041
277,159,BAV,CKG,CN,CN,64.29221918
277,298,BAV,CTU,CN,CN,65.26531507
277,263,BAV,DLC,CN,CN,93.94068493
277,164,BAV,FOC,CN,CN,48.27913425
277,213,BAV,HDG,CN,CN,66.32893151
277,153,BAV,HFE,CN,CN,69.44057534
277,225,BAV,HRB,CN,CN,48.27913425
277,252,BAV,KHN,CN,CN,74.88312329
277,196,BAV,KWE,CN,CN,35.81219178
277,179,BAV,LHW,CN,CN,62.52706849
277,246,BAV,NKG,CN,CN,198.9867945
277,154,BAV,PEK,CN,CN,388.9735836
277,155,BAV,PKX,CN,CN,19.22203836
277,317,BAV,PVG,CN,CN,228.3508438
277,257,BAV,SHE,CN,CN,154.4144767
277,211,BAV,SJW,CN,CN,229.0426027
277,331,BAV,TSN,CN,CN,91.89193425
277,324,BAV,TYN,CN,CN,189.1411452
277,348,BAV,URC,CN,CN,83.53688767
277,207,BAV,WUH,CN,CN,92.65076712
277,325,BAV,WUT,CN,CN,106.335211
277,321,BAV,XIY,CN,CN,109.6928
277,206,BAV,YIH,CN,CN,31.55546301
563,518,BBI,AMD,IN,IN,22.81117808
563,538,BBI,BLR,IN,IN,834.4003068
563,552,BBI,BOM,IN,IN,538.8650192
563,594,BBI,CCU,IN,IN,1026.62069
563,540,BBI,COK,IN,IN,73.32164384
563,513,BBI,DEL,IN,IN,1645.13474
563,806,BBI,DMK,IN,TH,43.9929863
563,505,BBI,GAU,IN,IN,142.569863
563,577,BBI,HYD,IN,IN,579.4958904
563,530,BBI,IXR,IN,IN,93.85170411
563,564,BBI,JRG,IN,IN,34.37970411
563,727,BBI,KUL,IN,MY,84.72723288
563,583,BBI,MAA,IN,IN,298.5820274
563,496,BBI,VTZ,IN,IN,36.25347945
732,418,BBN,BKM,MY,MY,2.353534247
732,741,BBN,LGL,MY,MY,2.353534247
732,744,BBN,MUR,MY,MY,16.24843836
732,746,BBN,MYY,MY,MY,32.67791781
795,779,BCD,CEB,PH,PH,370.7812164
795,781,BCD,CGY,PH,PH,11.24265205
795,776,BCD,CRK,PH,PH,179.4479342
795,787,BCD,DVO,PH,PH,72.5069589
795,780,BCD,MNL,PH,PH,1796.878137
76,68,BCI,LRE,AU,AU,31.06665205
88,92,BDB,BNE,AU,AU,297.9755397
93,48,BDD,ABM,AU,AU,29.79710137
93,93,BDD,BDD,AU,AU,38.95551781
428,404,BDJ,BDO,ID,ID,61.38424658
428,427,BDJ,BTW,ID,ID,87.10339726
428,399,BDJ,CGK,ID,ID,1454.133397
428,491,BDJ,JOG,ID,ID,137.0119014
428,417,BDJ,PNK,ID,ID,62.40486575
428,411,BDJ,SOC,ID,ID,39.10487671
428,413,BDJ,SRG,ID,ID,280.9667288
428,408,BDJ,SUB,ID,ID,1256.502148
428,476,BDJ,UPG,ID,ID,216.1064932
404,428,BDO,BDJ,ID,ID,61.38424658
404,426,BDO,BTH,ID,ID,61.38424658
404,409,BDO,HLP,ID,ID,178.6875616
404,491,BDO,JOG,ID,ID,95.43807671
404,490,BDO,KNO,ID,ID,208.1180548
404,727,BDO,KUL,ID,MY,503.3395068
404,439,BDO,LOP,ID,ID,20.34449315
404,406,BDO,MLG,ID,ID,9.939156164
404,470,BDO,PDG,ID,ID,60.89769863
404,397,BDO,PGK,ID,ID,114.2640877
404,466,BDO,PKU,ID,ID,150.999589
404,478,BDO,PLM,ID,ID,148.8157808
404,417,BDO,PNK,ID,ID,61.38424658
404,805,BDO,SIN,ID,SG,357.9069315
404,411,BDO,SOC,ID,ID,42.35003836
404,413,BDO,SRG,ID,ID,173.9397589
404,408,BDO,SUB,ID,ID,492.0085973
404,431,BDO,TKG,ID,ID,139.093874
404,476,BDO,UPG,ID,ID,61.03347945
524,538,BDQ,BLR,IN,IN,183.2656384
524,552,BDQ,BOM,IN,IN,494.8645205
524,513,BDQ,DEL,IN,IN,777.2281589
524,577,BDQ,HYD,IN,IN,96.54016438
421,422,BEJ,TRK,ID,ID,16.94544658
54,51,BEU,BVI,AU,AU,7.771189041
197,167,BFJ,CAN,CN,CN,126.049863
197,202,BFJ,CGO,CN,CN,21.72493151
197,159,BFJ,CKG,CN,CN,96.91356164
197,298,BFJ,CTU,CN,CN,76.44460274
197,215,BFJ,HAK,CN,CN,58.28391781
197,379,BFJ,HGH,CN,CN,148.68
197,361,BFJ,JHG,CN,CN,82.28317808
197,365,BFJ,KMG,CN,CN,292.0645479
197,196,BFJ,KWE,CN,CN,231.8344384
197,363,BFJ,LJG,CN,CN,51.73249315
197,187,BFJ,LZH,CN,CN,42.60123288
197,246,BFJ,NKG,CN,CN,83.50520548
197,185,BFJ,NNG,CN,CN,28.80816438
197,155,BFJ,PKX,CN,CN,26.6628274
197,318,BFJ,SHA,CN,CN,146.2359452
197,172,BFJ,SZX,CN,CN,85.94926027
197,315,BFJ,TNA,CN,CN,34.28465753
197,207,BFJ,WUH,CN,CN,41.06238356
197,321,BFJ,XIY,CN,CN,148.1595068
810,806,BFV,DMK,TH,TH,523.1295616
755,749,BHE,AKL,NZ,NZ,296.1651288
755,751,BHE,CHC,NZ,NZ,4.52150137
755,754,BHE,NPE,NZ,NZ,1.593161644
755,767,BHE,PPQ,NZ,NZ,10.79231233
755,768,BHE,WLG,NZ,NZ,384.7304329
515,552,BHJ,BOM,IN,IN,88.88665205
558,518,BHO,AMD,IN,IN,31.00328767
558,538,BHO,BLR,IN,IN,124.7289863
558,552,BHO,BOM,IN,IN,566.144926
558,513,BHO,DEL,IN,IN,694.5256932
558,577,BHO,HYD,IN,IN,194.1394192
558,572,BHO,JAI,IN,IN,95.10088767
558,557,BHO,JLR,IN,IN,10.42796712
558,549,BHO,PNQ,IN,IN,67.46949041
558,512,BHO,RPR,IN,IN,68.53536986
558,548,BHO,SAG,IN,IN,64.94849315
558,574,BHO,UDR,IN,IN,60.19616438
1,99,BHQ,ADL,AU,AU,44.7035726
1,10,BHQ,DBO,AU,AU,18.46619178
1,4,BHQ,GFF,AU,AU,18.23536438
1,110,BHQ,MQL,AU,AU,22.31331507
1,22,BHQ,SYD,AU,AU,27.93011507
5,14,BHS,PKE,AU,AU,8.078958904
5,22,BHS,SYD,AU,AU,64.7086137
520,552,BHU,BOM,IN,IN,67.29297534
188,809,BHY,BKK,CN,TH,42.36361644
188,167,BHY,CAN,CN,CN,116.0247123
188,233,BHY,CGD,CN,CN,97.76219178
188,202,BHY,CGO,CN,CN,115.9477699
188,159,BHY,CKG,CN,CN,238.4219781
188,232,BHY,CSX,CN,CN,330.4754027
188,298,BHY,CTU,CN,CN,244.9621808
188,857,BHY,DAD,CN,VN,55.52530411
188,164,BHY,FOC,CN,CN,100.9801973
188,215,BHY,HAK,CN,CN,42.78227397
188,379,BHY,HGH,CN,CN,153.6774575
188,235,BHY,HNY,CN,CN,18.63591781
188,225,BHY,HRB,CN,CN,42.36361644
188,252,BHY,KHN,CN,CN,166.8595123
188,365,BHY,KMG,CN,CN,100.2628219
188,196,BHY,KWE,CN,CN,118.7969041
188,184,BHY,KWL,CN,CN,50.91780822
188,179,BHY,LHW,CN,CN,25.25523288
188,363,BHY,LJG,CN,CN,36.25347945
188,378,BHY,NGB,CN,CN,81.21050959
188,246,BHY,NKG,CN,CN,46.0749589
188,154,BHY,PEK,CN,CN,122.0126466
188,317,BHY,PVG,CN,CN,188.3823123
188,257,BHY,SHE,CN,CN,26.88460274
188,211,BHY,SJW,CN,CN,99.99126027
188,172,BHY,SZX,CN,CN,49.06666301
188,313,BHY,TAO,CN,CN,42.36361644
188,207,BHY,WUH,CN,CN,216.9392822
188,205,BHY,XFN,CN,CN,58.24164384
188,321,BHY,XIY,CN,CN,387.4942959
188,244,BHY,YTY,CN,CN,35.84613699
460,453,BIK,DJJ,ID,ID,351.8918411
460,476,BIK,UPG,ID,ID,226.0637534
447,445,BJW,KOE,ID,ID,186.7529425
447,446,BJW,LBJ,ID,MY,56.1182137
570,513,BKB,DEL,IN,IN,60.6125589
570,572,BKB,JAI,IN,IN,59.96081096
809,749,BKK,AKL,TH,NZ,317.2307068
809,518,BKK,AMD,TH,IN,129.3380219
809,567,BKK,ATQ,TH,IN,21.08223562
809,188,BKK,BHY,TH,CN,42.36361644
809,538,BKK,BLR,TH,IN,485.8697644
809,92,BKK,BNE,TH,AU,182.8039836
809,552,BKK,BOM,TH,IN,1316.720942
809,148,BKK,BWN,TH,BN,146.6432877
809,167,BKK,CAN,TH,CN,2074.505288
809,594,BKK,CCU,TH,IN,905.483737
809,779,BKK,CEB,TH,PH,64.84439452
809,823,BKK,CEI,TH,TH,1176.581556
809,399,BKK,CGK,TH,ID,785.4400055
809,202,BKK,CGO,TH,CN,225.3848493
809,240,BKK,CGQ,TH,CN,24.84789041
809,678,BKK,CJU,TH,KR,102.7181918
809,159,BKK,CKG,TH,CN,157.3020822
809,818,BKK,CNX,TH,TH,4274.746882
809,232,BKK,CSX,TH,CN,147.1185205
809,603,BKK,CTS,TH,JP,379.5073973
809,298,BKK,CTU,TH,CN,755.8721918
809,857,BKK,DAD,TH,VN,636.0290521
809,513,BKK,DEL,TH,IN,1729.606252
809,851,BKK,DLI,TH,VN,133.7033753
809,229,BKK,DYG,TH,CN,141.7551781
809,164,BKK,FOC,TH,CN,186.6081096
809,644,BKK,FUK,TH,JP,278.8990575
809,508,BKK,GAY,TH,IN,90.54317808
809,215,BKK,HAK,TH,CN,126.007589
809,839,BKK,HAN,TH,VN,1146.579244
809,834,BKK,HDY,TH,TH,705.6529315
809,153,BKK,HFE,TH,CN,91.24471233
809,379,BKK,HGH,TH,CN,284.2299945
809,391,BKK,HKG,TH,HK,6095.636318
809,830,BKK,HKT,TH,TH,5177.816077
809,617,BKK,HND,TH,JP,2277.203518
809,842,BKK,HPH,TH,VN,82.00709041
809,577,BKK,HYD,TH,IN,306.6383562
809,664,BKK,ICN,TH,KR,3588.035375
809,725,BKK,IPH,TH,MY,179.4343562
809,595,BKK,IXB,TH,IN,27.56350685
809,572,BKK,JAI,TH,IN,76.98772603
809,163,BKK,JJN,TH,CN,73.74328767
809,829,BKK,KBV,TH,TH,1302.690981
809,386,BKK,KHH,TH,TW,271.3466575
809,252,BKK,KHN,TH,CN,83.91254795
809,629,BKK,KIX,TH,JP,1068.355189
809,813,BKK,KKC,TH,TH,796.8297534
809,365,BKK,KMG,TH,CN,908.5072164
809,727,BKK,KUL,TH,MY,1884.893529
809,196,BKK,KWE,TH,CN,75.76569863
809,179,BKK,LHW,TH,CN,79.83912329
809,589,BKK,LKO,TH,IN,68.50142466
809,686,BKK,LPQ,TH,LA,275.2639342
809,819,BKK,LPT,TH,TH,173.5278904
809,200,BKK,LYA,TH,CN,42.36361644
809,248,BKK,LYG,TH,CN,81.01589041
809,583,BKK,MAA,TH,IN,423.1880877
809,697,BKK,MDL,TH,MM,261.0386301
809,114,BKK,MEL,TH,AU,583.5459616
809,780,BKK,MNL,TH,PH,1730.895353
809,674,BKK,MWX,TH,KR,66.34703562
809,837,BKK,NAW,TH,TH,121.4559452
809,378,BKK,NGB,TH,CN,177.1939726
809,627,BKK,NGO,TH,JP,716.0537425
809,246,BKK,NKG,TH,CN,160.4001479
809,185,BKK,NNG,TH,CN,353.8878192
809,619,BKK,NRT,TH,JP,1890.649819
809,696,BKK,NYT,TH,MM,166.3224548
809,154,BKK,PEK,TH,CN,1466.711134
809,145,BKK,PER,TH,AU,243.8216219
809,155,BKK,PKX,TH,CN,25.69878356
809,679,BKK,PKZ,TH,LA,34.70557808
809,659,BKK,PNH,TH,KH,1856.721995
809,661,BKK,PUS,TH,KR,821.4852877
809,317,BKK,PVG,TH,CN,2332.857814
809,658,BKK,REP,TH,KH,681.5337315
809,703,BKK,RGN,TH,MM,1358.717951
809,387,BKK,RMQ,TH,TW,125.7783014
809,657,BKK,RNJ,TH,JP,146.2359452
809,852,BKK,SGN,TH,VN,1814.099671
809,257,BKK,SHE,TH,CN,151.9387397
809,805,BKK,SIN,TH,SG,4949.958477
809,211,BKK,SJW,TH,CN,24.90446575
809,171,BKK,SWA,TH,CN,202.8226027
809,22,BKK,SYD,TH,AU,753.5654575
809,214,BKK,SYX,TH,CN,104.3747178
809,172,BKK,SZX,TH,CN,694.5384548
809,172,BKK,SZX,TH,MO,290.5528548
809,663,BKK,TAE,TH,KR,110.681737
809,313,BKK,TAO,TH,CN,82.7810411
809,808,BKK,TDX,TH,TH,195.1985096
809,820,BKK,THS,TH,TH,143.9095671
809,315,BKK,TNA,TH,CN,125.3882466
809,383,BKK,TPE,TH,TW,3334.155381
809,331,BKK,TSN,TH,CN,124.4883836
809,324,BKK,TYN,TH,CN,77.17555616
809,811,BKK,UBP,TH,TH,386.7716712
809,348,BKK,URC,TH,CN,24.46462466
809,831,BKK,URT,TH,TH,2538.465463
809,814,BKK,UTH,TH,TH,645.9772603
809,854,BKK,VKG,TH,VN,71.10389041
809,587,BKK,VNS,TH,IN,136.6670137
809,689,BKK,VTE,TH,LA,974.517063
