airport,internal_commuting_flow
JAI,9005362.17
KQH,2589356.77
UDR,4257349.787
PYG,91740.9406
BPM,7395288.656
HYD,2163693.691
TCR,1436905.326
CJB,2091900.315
SXV,3822851.762
IXM,2609337.482
TRZ,3635531.378
MAA,3616004.402
IXA,914951.7625
KNU,6791600.021
AGR,21996205.74
VNS,7070428.457
IXD,3303917.306
LKO,9969415.289
BEK,3211312.861
GOP,9490538.671
PGH,1274182.719
DED,1598670.584
CCU,13247974.86
IXB,3399196.66
RDP,6971308.311
WKJ,13783.61892
AKJ,176061.5506
KUH,44198.37951
OBO,97447.5391
MBE,29858.37965
OIR,34032.67594
CTS,121766.1464
SHB,23428.04628
MMB,40577.55892
OKD,623624.0347
AOJ,184653.1743
MSJ,80965.58388
HNA,367718.7038
SDJ,484802.4143
ONJ,49592.23362
AXT,172315.8413
GAJ,152566.4003
SYO,47528.11105
FKS,493609.0363
IBR,1292271.036
HND,6251607.518
NRT,964088.9171
HAC,595.74185
KIJ,485502.8674
TOY,183291.9274
NTQ,21584.25008
KMQ,386256.2573
MMJ,708412.7754
NKM,1393444.176
FSZ,725326.4913
NGO,977090.3367
ITM,2144158.325
KIX,158445.617
TJH,754972.1604
SHM,28494.90513
YGJ,30547.09162
TTJ,31639.96727
IZO,64994.6141
IWJ,18927.01909
OKJ,354595.7181
HIJ,521017.5586
IWK,80954.3723
UBJ,187346.6751
TKS,122972.5118
TAK,39300.62582
MYJ,168530.4356
KCZ,118948.1248
FUK,201302.4366
KKJ,298124.6122
HSG,148090.8358
TSJ,5815.6208
FUJ,2900.51575
IKI,11001.925
KMJ,523544.4422
AXJ,9755.043854
KOJ,491706.9298
KUM,1591.74632
TNE,6967.586078
ISG,14296.58026
ASJ,70277.82571
RNJ,173970.0489
REP,1377663.257
PNH,2634884.886
KOS,45978.92266
PUS,1111741.69
TAE,118397.7806
ICN,281102.0493
CJJ,1287971.446
USN,95224.81942
GMP,5447495.019
SHO,23262.72516
KUZ,18505.49637
YNY,6116.598696
WJU,154449.0326
SUK,44947.53514
KUV,238885.8652
MWX,19809.24129
KWJ,324642.701
KPO,236205.2402
YEC,332084.9569
HIN,215737.9621
CJU,80673.70291
PKZ,380042.5641
LXG,190435.2377
XKH,143736.3335
HOE,9936.852415
NEU,27469.23833
ODY,13634.42008
ZVK,356616.4957
LPQ,189334.1813
PCQ,54153.90102
OUI,65490.81438
VTE,194405.1254
KHM,69496.60474
HOX,127406.2618
KMV,318096.9171
BPE,322634.3444
NYW,887221.7642
NYT,1539477.53
MWQ,1015368.679
MDL,681774.3368
NYU,295047.3667
MGZ,103218.8779
VBP,24047.98386
TVY,118146.3071
KAW,23060.7141
RGN,3371125.719
PBU,43199.32197
MYT,369850.3526
BMO,108316.1637
LIW,53987.70034
MNU,886133.4831
VBA,50833.57151
SNW,73229.53284
AKY,322279.1813
KYP,42551.58974
MOG,74251.58708
KET,175371.4655
NMS,236795.7677
THL,44611.03631
LSH,776630.2008
HEH,490164.1148
JHB,774970.8492
AOR,439373.4548
LGK,8657.9592
KBR,330170.7183
MKZ,49104.28219
KUL,324130.7082
KUA,410381.9424
IPH,532891.5818
SZB,925500.85
TGG,109805.5795
LDU,270554.2534
SDK,132753.7238
KUD,446281.3677
BBN,1031.689873
LBP,640.2230821
LKH,10374.33828
LLM,3916.819442
MZV,199.7698978
ODN,1226.465975
BTU,56211.1019
LMN,2418.200083
SBW,61167.74723
LGL,705.3280625
MKM,23345.58128
SGG,43096.2134
MUR,297.3982
LWY,2995.300174
MYY,16330.33955
TGC,15998.44457
KCH,169908.7392
AKL,300518.7524
ROT,25952.22595
TIU,19513.50533
CHC,90776.01913
GIS,7417.416227
NPE,23052.07505
BHE,10749.28703
PCN,71.8120306
WAG,5521.943726
PMR,31570.76245
KKE,21496.3937
WGN,8238.118341
DUD,44697.22298
ZQN,6426.516072
WKA,4027.811269
IVC,19945.29234
NSN,13692.94482
NPL,16199.46413
PPQ,21946.13114
WLG,77526.64924
TUO,7708.479699
HLZ,94444.33738
LAO,240715.8145
BXU,427609.8758
KLO,23768.57945
LGP,422801.2836
ILO,556388.4422
TUG,258983.3447
CRK,2354384.251
SFS,153689.9667
ZAM,227853.1388
CEB,651866.0609
MNL,5967205.35
CGY,741415.9764
CGM,44407.57636
WNP,446177.8666
RXS,54386.82704
VRC,47715.07478
DVO,911112.7325
GES,571686.0809
CYP,214709.7692
CYZ,840798.0128
OZC,157891.8001
TAC,270158.2092
SJI,278379.9645
CBO,915785.1075
BCD,316597.1992
DGT,244035.3077
CRM,45572.70042
PPS,124937.3585
USU,2167.6952
ENI,46245.54022
MPH,22084.00293
SUG,70957.37445
IAO,8039.91375
PAG,356559.7174
SIN,326883.557
DMK,3941631.814
BKK,1054418.714
UTP,161566.6266
TDX,285495.6399
BFV,1058413.629
UBP,669555.0254
ROI,603193.2276
KKC,552604.8531
UTH,522274.794
LOE,263481.1956
SNO,167011.2556
KOP,136284.1706
CNX,441672.8218
LPT,142382.9609
THS,191396.3574
PRH,89865.03934
NNT,72088.90151
CEI,318806.0573
HGN,36951.82266
PHS,847727.0949
MAQ,94260.41676
HHQ,182124.1708
NST,274209.9845
KBV,39948.73357
HKT,154030.4382
URT,205273.1641
UNN,51261.03111
CJM,58122.71458
HDY,404494.1105
TST,204559.1309
PAN,76083.34307
NAW,185831.2299
SMT,130031.1156
CYI,73717.74642
TPE,1818741.775
HUN,19432.5865
TSA,5308.70041
KHH,244622.7818
RMQ,503698.7179
HCN,57964.71596
TNN,219794.0658
TTT,21315.99224
DIN,820571.0905
HAN,4612584.343
VDO,173690.4618
THD,875116.7179
HPH,1172546.364
VII,834330.4304
VDH,183304.2544
HUI,267871.2391
VCL,575930.2711
PXU,557059.2726
UIH,227892.4397
TBB,464247.6699
BMV,644555.0581
DLI,693849.8876
SGN,3712527.447
VCS,1095257.716
VKG,907227.3984
VCA,1004027.498
CAH,390083.3273
DAD,60731.2046
TXN,261967.0728
AQG,1927675.006
WHA,1649680.311
FUG,4206014.01
HFE,4659534.103
PEK,2705305.576
PKX,562548.334
WSK,266220.3463
WXN,1012964.063
JIQ,481926.5321
CKG,3651753.44
WUS,342996.2427
SQJ,601925.9429
LCX,668729.2221
JJN,3621932.269
FOC,1247009.137
HSC,846170.5605
HUZ,2216081.611
CAN,1584936.6
MXZ,1328398.406
FUO,4431696.912
ZHA,2866666.776
SWA,2533202.432
SZX,3163468.019
DNH,96326.13482
JGN,298520.3225
GXH,259372.5602
JIC,523745.4663
YZY,274327.2612
IQN,884566.9619
LHW,2461330.845
THQ,1416858.414
LNL,721708.0427
HCJ,542736.1701
AEB,1193713.196
KWL,1466818.709
NNG,2193516.117
WUZ,1731075.012
LZH,2276572.956
BHY,1449897.848
LLB,248087.7767
ACX,565377.548
ZYI,1082091.497
KJH,1160352.768
AVA,946703.9565
HZH,286982.5413
WMT,330158.5492
KWE,1024138.862
BFJ,586106.5167
LPF,878102.3181
NNY,3696028.871
LYA,3672231.137
XAI,4865147.014
CGO,15010237.51
HPG,908776.5091
ENH,635360.8596
XFN,1695790.291
YIH,883695.3599
WUH,8577201.65
SHS,2296573.583
ZQZ,1408068.42
TVS,5942038
SJW,6975732.691
WDS,2869327.6
HDG,3489940.939
SYX,599415.472
HAK,1167122.038
LDS,456390.5544
OHE,84854.89741
HEK,109775.0749
DTU,1477757.633
JSJ,545201.334
JMU,1326621.24
MDG,946521.5586
FYJ,57676.64556
JXA,932117.5692
HRB,3850373.263
DQA,1549349.844
NDG,1070471.071
HCZ,1346173.754
DYG,832130.2585
HJJ,1358126.31
LLF,2257776.094
CSX,4566919.918
CGD,3106748.145
TEN,322207.0607
HNY,2993437.169
YNJ,501187.1538
NBS,527065.123
DBC,841908.0789
TNH,937279.9742
CGQ,5828739.188
YNZ,1346885.569
NTG,2310634.276
HIA,2473418.777
YTY,1793178.532
XUZ,1642053.234
NKG,2117305.519
CZX,2367145.72
LYG,1096250.267
WUX,3868112.161
SQD,1238441.902
YIC,1604261.568
KHN,3643601.401
JGS,1470683.468
KOW,2373997.481
JDZ,1021071.813
JIU,693355.3082
SHE,3819956.108
DDG,837815.5785
JNZ,1399666.478
CHG,1096896.633
AOG,1471462.508
YKH,1505274.716
DLC,1203198.303
RHT,8047.993183
AXF,40603.36616
NZH,37616.92411
EJN,9849.824529
WUA,323067.8017
ERL,43751.20253
JGD,182505.2473
HUO,291394.7659
HLD,285074.9191
NZL,250474.5133
XIL,214380.8144
YIE,30076.53996
RLK,365345.2078
BAV,756154.5524
HLH,385353.5446
HET,829679.5723
UCB,477393.9701
DSN,464462.7182
CIF,1024555.457
TGO,997443.3681
ZHY,709279.8685
INC,1091158.698
HTT,14599.27605
GOQ,58130.18209
GMQ,168638.2861
YUS,147761.7158
HXD,82372.08923
HBQ,73070.98196
XNN,1180211.295
GZG,152446.2326
DCY,80455.49319
JZH,70670.89064
KGT,332271.9909
AHJ,88989.79354
CTU,4522017.045
XIC,1031285.349
MIG,1615031.049
BZX,1293856.323
PZI,536848.7884
YBP,1528509.332
GYS,358777.2742
DAX,1541083.895
LZO,1646406.039
TFU,1842185.79
NAO,2071341.966
DOY,1467112.799
WEF,3122259.203
LYI,3664602.254
YNT,1972216.333
TAO,2688840.539
WEH,490867.1244
TNA,6713593.57
JNG,7625790.347
PVG,664263.9526
SHA,3260617.006
HZG,1023991.071
ENY,969566.0134
XIY,6577242.751
UYN,706598.8354
AKA,1013089.871
TYN,1919080.992
WUT,1087958.068
LLV,1039684.597
LFQ,1542427.054
DAT,1293233.759
CIH,1539307.369
YCU,1458697.917
TSN,3994374.359
IQM,15565.3682
RQA,13501.66901
TLQ,334036.8972
YTW,112364.8934
NLT,159656.8629
KRL,318905.9787
KCA,325676.521
HTN,422286.5163
HMI,170724.1961
FYN,54141.50309
KHG,748465.265
KRY,182806.4682
AKU,460628.5609
QSZ,676431.5126
KJI,78072.30116
URC,843605.4874
SHF,468781.1684
TWC,133725.2173
YIN,545404.9087
AAT,89757.5258
BPL,138361.505
TCG,156770.8683
NGQ,39903.99751
RKZ,264897.0351
BPX,212238.6028
LXA,306231.5757
LZY,151997.1902
DIG,158686.1525
SYM,568377.3464
JHG,226298.9209
NLH,55469.66814
LJG,391649.5949
TCZ,207010.6712
KMG,4074101.87
DLU,1160118.354
BSD,530645.1532
JMJ,141426.317
WNH,1803917.509
LNJ,488592.1583
LUM,301467.7538
CWJ,162878.1559
ZAT,1934499.921
WNZ,1957075.005
JUZ,998766.6443
YIW,2053015.245
HYN,1415507.216
NGB,2127612.386
HGH,5402182.609
HSN,179002.9793
HKG,752293.0634
