apt_code,airport,total_population,,provinces
768,WLG,708713.83,NZ,NZ-WGN
769,TUO,49952.56,NZ,NZ-WKO
770,HLZ,425599.3,NZ,NZ-WKO
771,LAO,1291112.44,PH,"PH-ABR, PH-ILN, PH-ILS"
772,BXU,1790228.5,PH,"PH-AGS, PH-SUR, PH-AGN"
773,KLO,432155.99,PH,PH-AKL
774,LGP,2185871.33,PH,"PH-MAS, PH-ALB, PH-SOR"
775,ILO,2885947.38,PH,"PH-ANT, PH-ILI, PH-GUI"
776,CRK,9813455.26,PH,"PH-AUR, PH-PAM, PH-BEN, PH-TAR, PH-PAN, PH-NUE"
777,SFS,1013141.75,PH,"PH-ZMB, PH-BAN"
778,ZAM,1607663.98,PH,"PH-ZAN, PH-BAS, PH-TAW"
779,CEB,4153080.44,PH,"PH-BOH, PH-CEB"
780,MNL,29280313.72,PH,"PH-QUE, PH-BUL, PH-RIZ, PH-BTG, PH-CAV, PH-LAG, PH-MNL"
781,CGY,3223297.5,PH,"PH-MSR, PH-LAS, PH-BUK"
782,TUG,1124302.33,PH,"PH-CAG, PH-APA, PH-KAL"
783,CGM,336326.66,PH,PH-CAG
784,WNP,2336176.74,PH,"PH-CAS, PH-CAN"
785,RXS,431519.69,PH,PH-CAP
786,VRC,356583.62,PH,PH-CAT
787,DVO,4315579.11,PH,"PH-DAO, PH-DAV, PH-COM"
788,GES,2710087.89,PH,"PH-SAR, PH-DAS, PH-SCO"
789,CYP,1015790,PH,"PH-EAS, PH-WSA"
790,CYZ,3691796.46,PH,"PH-ISA, PH-QUI, PH-MOU, PH-NUV, PH-IFU, PH-LUN"
791,OZC,1288334.99,PH,"PH-MSC, PH-LAN"
792,TAC,1402704.49,PH,PH-LEY
793,SJI,1290044.83,PH,"PH-MDC, PH-MDR, PH-MAD"
794,CBO,3443442.66,PH,"PH-SUK, PH-MAG, PH-NCO"
795,BCD,1715852.53,PH,PH-NEC
796,DGT,1261807.43,PH,"PH-NER, PH-SIG"
797,CRM,320726.33,PH,PH-NSA
798,PPS,629716.14,PH,PH-PLW
799,USU,39412.64,PH,PH-PLW
800,ENI,267449.61,PH,PH-PLW
801,MPH,209188.06,PH,PH-ROM
802,SUG,482603.1,PH,"PH-SUN, PH-SLE"
803,IAO,146180.25,PH,PH-SUN
