apt_code,airport,total_population,,provinces
352,BPL,508729.18,CN,CN-XJ
353,TCG,606421.16,CN,CN-XJ
354,NGQ,138937.76,CN,CN-XZ
355,RKZ,884251.31,CN,CN-XZ
356,LZY,501778.29,CN,CN-XZ
357,LXA,1096105.85,CN,CN-XZ
358,BPX,680587.37,CN,CN-XZ
359,DIG,558586.17,CN,CN-YN
360,SYM,1988536.09,CN,CN-YN
361,JHG,905914.92,CN,CN-YN
362,NLH,321441.73,CN,CN-YN
363,LJG,1485168.69,CN,CN-YN
364,TCZ,904480.94,CN,CN-YN
365,KMG,13877476.56,CN,CN-YN
366,DLU,3910222.89,CN,CN-YN
367,BSD,2061243.44,CN,CN-YN
368,JMJ,577562.9,CN,CN-YN
369,WNH,6015751.29,CN,CN-YN
370,LNJ,1786463.29,CN,CN-YN
371,LUM,1262379.4,CN,CN-YN
372,CWJ,706060.14,CN,CN-YN
373,ZAT,7597540.11,CN,CN-YN
374,WNZ,9460747.5,CN,CN-ZJ
375,JUZ,3926366.39,CN,CN-ZJ
376,YIW,7984863.14,CN,CN-ZJ
377,HYN,6377233.41,CN,CN-ZJ
378,NGB,9623608.56,CN,CN-ZJ
379,HGH,20993692.87,CN,CN-ZJ
380,HSN,1652522.51,CN,CN-ZJ
391,HKG,8588612.519,CN,CN-HK
392,TXE,1330412.92,ID,ID-AC
393,BTJ,1052370,ID,ID-AC
394,MEQ,685051.61,ID,ID-AC
395,LSW,1075129.85,ID,ID-AC
396,TJQ,200575.85,ID,ID-BB
397,PGK,1062241.5,ID,ID-BB
398,BKS,1660662.95,ID,ID-BE
399,CGK,14996648.79,ID,ID-BT
400,GTO,942974.29,ID,ID-GO
401,DJB,1552595.94,ID,ID-JA
402,BUU,1661273.48,ID,ID-JA
403,TSY,9442101.15,ID,ID-JB
404,BDO,32195704.27,ID,ID-JB
405,BWX,7009982.4,ID,"ID-BA, ID-JI"
406,MLG,12076811.71,ID,ID-JI
407,JBB,3104334.81,ID,ID-JI
408,SUB,13460178.31,ID,ID-JI
409,HLP,9011375.12,ID,ID-JK
410,CPF,1390152.32,ID,ID-JT
411,SOC,6067045.99,ID,ID-JT
412,PWL,10169227.18,ID,ID-JT
413,SRG,6950179.21,ID,ID-JT
414,PSU,241301.31,ID,ID-KB
415,SQG,757348.58,ID,ID-KB
416,KTG,401664.01,ID,ID-KB
417,PNK,2615896.98,ID,ID-KB
418,BKM,131789.43,ID,ID-KI
419,LNU,138675.75,ID,ID-KI
420,TJS,135408.84,ID,ID-KI
421,BEJ,3312210.85,ID,ID-KI
422,TRK,693628.58,ID,ID-KI
423,NNX,53142.4,ID,ID-KI
424,LMU,58835.96,ID,ID-KR
425,SIQ,74366.37,ID,ID-KR
426,BTH,2758092.6,ID,ID-KR
427,BTW,1399823.92,ID,ID-KS
428,BDJ,2226275.28,ID,ID-KS
429,PKY,1369373.97,ID,ID-KT
430,PKN,780682.36,ID,ID-KT
431,TKG,6596629.83,ID,ID-LA
432,LUV,191202.45,ID,ID-MA
433,NRE,1351872.97,ID,ID-MA
434,SXK,162926.85,ID,ID-MA
435,KAZ,823101.98,ID,ID-MU
436,LAH,277793.82,ID,ID-MU
437,SQN,197589.84,ID,ID-MU
438,SWQ,357419.56,ID,ID-NB
439,LOP,3467407.41,ID,ID-NB
440,SAE,527491.94,ID,ID-NB
441,BMU,300415.31,ID,ID-NB
442,WGP,575688.05,ID,ID-NT
443,ABU,858920.89,ID,ID-NT
444,LWE,391360.34,ID,ID-NT
445,KOE,601023.01,ID,ID-NT
446,LBJ,158875.47,ID,ID-NT
447,BJW,339844.69,ID,ID-NT
448,ENE,312712.5,ID,ID-NT
449,RTG,430064.57,ID,ID-NT
450,MOF,354514.06,ID,ID-NT
451,WMX,1491543.88,ID,ID-PA
452,ZRI,167812.67,ID,ID-PA
453,DJJ,701377.74,ID,ID-PA
454,TMH,213102.19,ID,ID-PA
455,OKL,144220.74,ID,ID-PA
456,DEX,267191.42,ID,ID-PA
457,EWE,156216.54,ID,ID-PA
458,TIM,1774614.63,ID,ID-PA
459,MKQ,258274.28,ID,ID-PA
460,BIK,267289.65,ID,ID-PA
461,SOQ,552335.01,ID,ID-PB
462,BXB,141042.19,ID,ID-PB
463,MKW,297695.4,ID,ID-PB
464,FKQ,90060.36,ID,ID-PB
465,KNG,99323.92,ID,ID-PB
466,PKU,4423593.43,ID,ID-RI
467,DUM,1913543.15,ID,ID-RI
468,MDC,2023095.17,ID,ID-SA
469,KRC,693295.49,ID,ID-SB
470,PDG,3949339.14,ID,ID-SB
471,KDI,1454679,ID,ID-SG
472,RAQ,402631.59,ID,ID-SG
473,BUW,385618.88,ID,ID-SG
474,LLO,1373724.72,ID,ID-SN
475,TTR,2379456.95,ID,"ID-SN, ID-SR"
476,UPG,3616235.59,ID,ID-SN
477,LLJ,1827865.43,ID,ID-SS
478,PLM,4374571.24,ID,ID-SS
479,MOH,141989.49,ID,ID-ST
480,PSJ,278476.21,ID,ID-ST
481,OJU,277934.37,ID,ID-ST
482,LUW,305195.72,ID,ID-ST
483,UOL,86870.99,ID,ID-ST
484,TLI,465609.74,ID,ID-ST
485,PLW,955090.61,ID,ID-ST
486,DTB,2698187.4,ID,ID-SU
487,AEG,1512656,ID,ID-SU
488,FLZ,692793.37,ID,ID-SU
489,GNS,613424.3,ID,ID-SU
490,KNO,6531706.1,ID,ID-SU
491,JOG,3594286.81,ID,ID-YO
492,IXZ,368587.13,IN,IN-AN
493,RJA,7163345.94,IN,IN-AP
494,KJB,6037665.2,IN,IN-AP
495,CDP,7117875.37,IN,IN-AP
496,VTZ,7883289.16,IN,IN-AP
497,TIR,6136984.62,IN,IN-AP
498,VGA,10482672.57,IN,IN-AP
499,TEI,397185.19,IN,IN-AR
500,IXT,1263350.24,IN,IN-AR
501,IXS,3665106.02,IN,IN-AS
502,JRH,3404130.05,IN,IN-AS
503,DIB,3799699.07,IN,IN-AS
504,TEZ,7089048,IN,IN-AS
505,GAU,7997907.21,IN,IN-AS
506,RUP,5272668.6,IN,IN-AS
507,IXI,1052602.62,IN,IN-AS
508,GAY,18392690.85,IN,IN-BR
509,PAT,40448764.35,IN,IN-BR
510,DBR,56065071.21,IN,IN-BR
511,JGB,2886953.31,IN,IN-CT
512,RPR,23741906.24,IN,IN-CT
513,DEL,40605756.17,IN,"IN-HR, IN-DL"
514,GOI,1570130.34,IN,IN-GA
515,BHJ,1014944.77,IN,IN-GJ
516,IXY,1962729.03,IN,IN-GJ
517,RAJ,4775991.22,IN,IN-GJ
518,AMD,19086959.65,IN,IN-GJ
519,JGA,1384221.32,IN,IN-GJ
520,BHU,22418817.8,IN,IN-GJ
521,PBD,1496141.25,IN,IN-GJ
522,IXK,2199395.18,IN,IN-GJ
523,DIU,1735237.59,IN,IN-GJ
524,BDQ,13957227.41,IN,IN-GJ
525,KUU,1180130.49,IN,IN-HP
526,DHM,1888335.28,IN,IN-HP
527,SLV,1603994.13,IN,IN-HP
528,IXP,938769.61,IN,IN-HP
529,PAB,1777521.65,IN,IN-HP
530,IXR,35403577.67,IN,IN-JH
531,IXJ,4901724.75,IN,IN-JK
532,SXR,9612929.31,IN,IN-JK
533,HBX,6976974.86,IN,IN-KA
534,IXG,6039432.87,IN,IN-KA
535,IXE,5983414.49,IN,IN-KA
536,MYQ,8132350.82,IN,IN-KA
537,VDY,9168711.92,IN,IN-KA
538,BLR,16745720.02,IN,IN-KA
539,IXX,5301796.13,IN,IN-KA
540,COK,7909613.99,IN,IN-KL
541,TRV,6958365.51,IN,IN-KL
542,CCJ,7820709.57,IN,IN-KL
543,CNN,4484342.54,IN,"IN-KL, IN-PY"
544,IXL,351939.48,IN,IN-LA
545,NAG,14653131.86,IN,IN-MH
546,KLH,10796599.68,IN,IN-MH
547,IXU,16413378.21,IN,IN-MH
548,SAG,5121757.97,IN,IN-MH
549,PNQ,14383566.16,IN,IN-MH
550,NDC,15923333.49,IN,IN-MH
551,ISK,8855613.49,IN,"IN-MH, IN-DH"
552,BOM,20698355.18,IN,IN-MH
553,JUH,7517103.62,IN,IN-MH
554,SHL,4144063.1,IN,IN-ML
555,IMF,3230916.96,IN,IN-MN
556,HJR,13959540.5,IN,IN-MP
557,JLR,14578802.3,IN,IN-MP
558,BHO,15709062.93,IN,IN-MP
559,IDR,21459890.88,IN,IN-MP
560,GWL,10129114.22,IN,IN-MP
561,AJL,1242692.68,IN,IN-MZ
562,DMU,1662000.81,IN,IN-NL
563,BBI,27675000.94,IN,IN-OR
564,JRG,14202710.26,IN,IN-OR
565,BUP,7199546.82,IN,IN-PB
566,LUH,11294778.68,IN,IN-PB
567,ATQ,9287545.45,IN,IN-PB
568,IXC,5365920.92,IN,IN-PB
569,JSA,2753858.77,IN,IN-RJ
570,BKB,9134337.36,IN,IN-RJ
571,JDH,7943036.61,IN,IN-RJ
572,JAI,30747797.07,IN,IN-RJ
573,KQH,8929543.51,IN,IN-RJ
574,UDR,14944890.1,IN,IN-RJ
575,PYG,633509.35,IN,IN-SK
576,BPM,26359487.91,IN,IN-TG
577,HYD,8012333.77,IN,IN-TG
578,TCR,5964792.29,IN,IN-TN
579,CJB,7944686.14,IN,IN-TN
580,SXV,13613253.91,IN,IN-TN
581,IXM,9433347.19,IN,IN-TN
582,TRZ,12746688.95,IN,IN-TN
583,MAA,16061833.59,IN,IN-TN
584,IXA,3999688.41,IN,IN-TR
585,KNU,23869320.56,IN,IN-UP
586,AGR,75006498.26,IN,IN-UP
587,VNS,25118432.96,IN,IN-UP
588,IXD,12842666.59,IN,IN-UP
589,LKO,33412271.96,IN,IN-UP
590,BEK,12889868.41,IN,IN-UP
591,GOP,32799097.74,IN,IN-UP
592,PGH,4873030.42,IN,IN-UT
593,DED,6118509.43,IN,IN-UT
594,CCU,47994120.78,IN,IN-WB
595,IXB,15090496.4,IN,IN-WB
596,RDP,26238504.09,IN,IN-WB
597,WKJ,71354,JP,JP-01
598,AKJ,714398.81,JP,JP-01
599,KUH,233401.14,JP,JP-01
600,OBO,397654.12,JP,JP-01
601,MBE,142011.93,JP,JP-01
602,OIR,185986.54,JP,JP-01
603,CTS,793453.85,JP,JP-01
604,SHB,102254.63,JP,JP-01
605,MMB,211273.83,JP,JP-01
606,OKD,3072181.42,JP,JP-01
607,AOJ,852393.76,JP,JP-02
608,MSJ,474361.26,JP,JP-02
609,HNA,1391736.51,JP,JP-03
610,SDJ,2363285.33,JP,JP-04
611,ONJ,256135.47,JP,JP-05
612,AXT,755640.65,JP,JP-05
613,GAJ,789975.59,JP,JP-06
614,SYO,288423.76,JP,JP-06
615,FKS,1926952.3,JP,JP-07
616,IBR,5938019.78,JP,"JP-09, JP-08"
617,HND,28969718.68,JP,"JP-10, JP-11, JP-14, JP-13"
618,HAC,10831.67,JP,JP-13
619,NRT,7169222.93,JP,JP-12
620,KIJ,2187328.28,JP,JP-15
621,TOY,1013286.46,JP,JP-16
622,NTQ,158140.9,JP,JP-17
623,KMQ,1957551.29,JP,"JP-18, JP-17"
