Dep_apt,Arr_apt,SchedDepApt,SchedArrApt,DepCountryCode,ArrCountryCode,avg_daily_passenger_cnt
607,628,AOJ,ITM,5,5,473.5107233
607,626,AOJ,NKM,5,5,220.3179616
607,383,AOJ,TPE,5,2,33.80489863
720,719,AOR,JHB,10,10,98.98421918
720,727,AOR,KUL,10,10,911.3993479
720,726,AOR,SZB,10,10,431.6200767
150,167,AQG,CAN,2,2,39.0369863
150,164,AQG,FOC,2,2,45.67666849
150,215,AQG,HAK,2,2,116.0812877
150,225,AQG,HRB,2,2,45.32590137
150,365,AQG,KMG,2,2,88.42726027
150,196,AQG,KWE,2,2,48.07772603
150,184,AQG,KWL,2,2,145.8286027
150,378,AQG,NGB,2,2,79.67166027
150,154,AQG,PEK,2,2,115.0176712
150,318,AQG,SHA,2,2,145.0139178
150,172,AQG,SZX,2,2,23.15063014
150,313,AQG,TAO,2,2,56.89216438
150,321,AQG,XIY,2,2,80.99326027
150,312,AQG,YNT,2,2,23.15063014
17,92,ARM,BNE,0,0,13.34272877
656,644,ASJ,FUK,5,5,61.74406575
656,617,ASJ,HND,5,5,135.6744603
656,628,ASJ,ITM,5,5,150.7913918
656,629,ASJ,KIX,5,5,71.28493151
656,652,ASJ,KOJ,5,5,455.2459397
656,619,ASJ,NRT,5,5,134.0156712
32,99,ASP,ADL,0,0,212.7662849
32,92,ASP,BNE,0,0,65.52103562
32,69,ASP,CNS,0,0,27.59518904
32,114,ASP,MEL,0,0,108.8419068
32,145,ASP,PER,0,0,51.70081096
32,22,ASP,SYD,0,0,134.9186137
567,809,ATQ,BKK,4,14,21.08223562
567,538,ATQ,BLR,4,4,173.6100822
567,552,ATQ,BOM,4,4,465.8699726
567,593,ATQ,DED,4,4,41.63945205
567,513,ATQ,DEL,4,4,1349.720115
567,505,ATQ,GAU,4,4,72.91430137
567,514,ATQ,GOI,4,4,18.91200548
567,577,ATQ,HYD,4,4,136.459726
567,572,ATQ,JAI,4,4,60.64876712
567,727,ATQ,KUL,4,10,236.5528219
567,550,ATQ,NDC,4,4,25.85719452
567,805,ATQ,SIN,4,13,116.5700986
567,532,ATQ,SXR,4,4,153.9754521
193,215,AVA,HAK,2,2,59.63041096
193,379,AVA,HGH,2,2,130.7569315
193,361,AVA,JHG,2,2,52.62936986
193,363,AVA,LJG,2,2,78.20975342
193,246,AVA,NKG,2,2,71.20572603
193,317,AVA,PVG,2,2,60.28668493
193,321,AVA,XIY,2,2,60.68271233
